'VESSELIN';'ABBADI SEIXAS';'34979669K'; 19190222;'hombres' 
'TAMARA PINO';'BARBERENA CARASUSAN';'61524996H'; 19500828;'mujeres' 
'DARINA';'FERNANDEZ DE LA PUENTE COMENDADOR';'71327108I'; 19230904;'mujeres' 
'TIZIANA';'EGOROVA CRUJEIRAS';'17830251L'; 20000420;'mujeres' 
'MONICA ALEXANDRA';'GODOS RUVIRA';'5752385V'; 19840623;'mujeres' 
'YOLANDA CONCEPCION';'PINTOR ALZURI';'86206680O'; 19940303;'mujeres' 
'EDGAR GERMAN';'CANON BADJI';'64709658N'; 19350721;'hombres' 
'DANIEL ROMEO';'TAYBI VENA';'94752079E'; 19430107;'hombres' 
'TERESITA MARIA';'LARBI DO CARMO';'86639799I'; 19270127;'mujeres' 
'MIHAI LAURENTIU';'CAMARENA NOLAN';'81881964X'; 19971225;'hombres' 
'NANCY CRISTINA';'FUNCIA RUSEVA';'55890407A'; 19940609;'mujeres' 
'KELLY ANDREA';'BARAHONA TABUYO';'77463920S'; 19881231;'mujeres' 
'LIMBERG';'BASCO BRICIO';'25604322I'; 19800917;'hombres' 
'ANTONY ALEXANDER';'GARCIA DELGADO ARANZAMENDI';'42024818Z'; 19580824;'hombres' 
'ISABELLA ROSE';'PENACHO ILLANAS';'35912335C'; 20081122;'mujeres' 
'QINGQING';'GONTAD PODEROSO';'99990298R'; 19301220;'mujeres' 
'PINO DELIA';'SAGARDIA BENEIT';'35783148M'; 19931018;'mujeres' 
'KARAMBA';'PORTELLA EL ALLAM';'68989433Y'; 19721230;'hombres' 
'YASMINA CARMEN';'LASTANAO CERNUDA';'42103328M'; 19350201;'mujeres' 
'EL BATOUL';'SALVANS AZPITARTE';'17015648Q'; 19260504;'mujeres' 
'FREDDY DAVID';'EL AMRITI SPINOLA';'49762551X'; 19661204;'hombres' 
'AUIXA';'MIRAVALLES SAUCE';'5729716A'; 19441108;'mujeres' 
'GARAZI';'ROMALDE BLANCHART';'48975025D'; 19590929;'mujeres' 
